id,trigger,object,subject,time,location
7953,恢复,深航,此外，深航,,
7955,作出,同时，因其,同时，因其违反中国法律,4月3日,
7956,发生,佛山市南海区某五金机械厂等8名合法债权人,佛山市南海区某五金机械厂等8名合法债权人,2008年间,
7956,查封,佛山市南海区某五金机械厂等8名合法债权人,佛山市南海区某五金机械厂等8名合法债权人,2008年间,
7959,发布,广州男子,广州男子涉嫌偷拍女同学发布淫秽信息,4月8日9时许,
7959,发布,广州男子,广州男子涉嫌偷拍女同学发布淫秽信息,4月8日9时许,
7959,抓获,广州男子,广州男子,4月7日凌晨4时许,
7959,发声,广州男子涉嫌偷拍女同学发布淫秽信息，学校发声4月8日9时许，广州警方,广州男子,4月8日9时许,
7960,参与,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,作为广东深圳,1月29日,武汉
7960,来到,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,作为广东深,1月29日,
7962,关注,李海建,3月23日，李海建,3月23日,
7964,减少,雷神山医院,据央视消息，随着患者,,
7965,建设,雷神山,1月底来雷神山,1月底,
7966,离开,李海建告诉南都记者，现在，除公司同事以外的大部分志愿者,7日，李海建告诉南都记者，现在，除公司同事以外的大部分志愿者,,
7970,参与,李海建,此外，3,3月31日至4月3日,
7974,举行,广东省政府新闻办,8日下午，广东省政府新闻办,4月8日下午,
7978,组织,省自然资源厅,省自然资源厅,,
7978,出动,省自然资源厅,省自然资源厅,,
7979,发布,省应急管理厅,省应急管理厅,,
7981,发布,宋某,经调查，宋某,4月6日,
7981,导致,宋某,经调查，宋某,,
7981,承认,宋某,经调查，宋某,,
7983,新增,广州,确诊病例,8日,
7983,报告,广州市,广州,4月8日0时至24时,
7984,恢复,南航,以南航为例，4月8日起,4月8日起,
7985,离开,他们,他们1月22日来深圳,1月22日,
7985,来,他们,他们1月22日来深圳,1月22日,
7986,申请,”刘女士,”刘女士,,
7989,举办,深圳机场地面服务公司,深圳机场地面服务公司专程为武汉回深首个航班举办欢迎仪式,,
7989,送上,深圳机场地面服务公司,深圳机场地面服务公司,,
7991,作出,目前，公安机关,目前，公安机关,,
7991,作出,目前，公安机关,目前，公安机关,,
7991,拘留,目前，公安机关,目前，公安机关,,
7991,拘留,目前，公安机关,目前，公安机关,,
7992,发生,广花公路（平沙路段，北往南）发生地陷,广花公路（平沙路段，北往南）发生地陷,4月9日凌晨,
7993,接受,299名密切接触者,299名密切接触者,,
7994,作出,钟南山院士,4月1日，钟南山院士,4月1日,深圳
7998,排查,社区,并采集咽拭子样本,4月6日,
7999,提出,广州市政府,广州市政府,3月6日,
8000,形成,3月9日，法制委员会,法制委员会,3月9日,
8000,修改,3月9日，法制委员会,法制委员会,3月9日,
8002,设立,上海建工一建集团项目部经理张杰,上,,
8005,公布,广东高院,广东高院,,
8007,接受,巴黎圣日耳曼队前锋姆巴佩,星岛环球网消息：,,
8008,进行,北京时间3月10日，巴黎,北京时间3月10日，巴黎,3月10日,
8009,制定,深圳市医疗保障局,3月28日，深圳市医疗保障局联合市卫生健康委等七部门,3月28日,
8010,加入,深圳市,深圳市加入省联盟,,
8010,推进,深圳市,深圳市加入省联盟,,
8010,下降,深圳市,,,
8011,召开,”3月9日上午，天海俱乐部,天海俱乐部,”3月9日上午,
8011,通报,”3月9日上午，天海俱乐部,9日上午，天海俱乐部,”3月9日上午,
8012,公布,阿根廷国家队,星岛环球网消息：人民网报道，北京时间3月10日晚，阿根廷国家队,3月10日晚,
8013,执行,尤文俱乐部,尤文俱乐部,,
8014,制造,亚特兰大再次超出比分，伊利西奇,第43分钟，亚特兰大,第43分钟，亚特兰大再次,
8014,命中,亚特兰大再次超出比分，伊利西奇,,,
8014,制造,亚特兰大再次超出比分，伊利西奇,第43分钟，亚特兰大,第43分钟，亚特兰大再次,
8016,公布,荷兰,据央视报道，北京时间3月12日消息，荷兰,3月12日,
8017,发布,欧足联,鉴于新冠肺炎疫情，欧足联,,
8019,发布,天津天海足球俱乐部,天津天海足球俱乐部,,
8021,发布,欧足联,欧足联发布欧冠赛事延期公告,,
8022,发布,星岛环球网消息：新华社广州3月13日电（记者王浩明）广州恒大淘宝足球俱乐部,星岛环球网消息：新华社广州3月13日电（记者王浩明）广州恒大淘宝足球俱乐部,13日,
8023,发布,西甲球队莱加内斯,#关注新冠肺炎#【#西甲球队CEO检测呈阳性#】13日，西甲球队莱加内斯,13日,
8026,增加,国足迪拜集训,国足迪拜集训,,
8028,做出,目前欧冠赛事受疫情影响暂停，意大利当地的疫情日益严重，不少球员,目前欧冠赛事,,
8028,影响,目前欧冠赛事受疫情影响暂停，意大利当地的疫情日益严重，不少球员,目前欧冠赛事受疫情,,
8029,遭遇,北京时间2月2日，在瓦伦西亚1:0击败塞尔塔的比赛中，加雷,北京时间2,,
8030,提出,星岛环球网消息：《北京青年报》报道，近日，国际足联,星岛环球网消息,,
8037,发布,据英国《镜报》15日报道，那不勒斯足球俱乐部成员德赖斯·梅尔滕斯,据英国《镜报》15日报道,,
8042,制定,国足这一趟阿联酋迪拜集训实属“不得已而为之”：2月22日亚足联,国足这一趟阿联,2月22日,
8043,公布,教练组,随后教练组,,
8045,推出,中国足协,2018年底，中国足协,2018年底,
8046,发布,原标题,原标题：西班牙人6人,3月18日4时53分,
8047,加盟,南都记者,南都记者,,
8048,成立,在意大利当地时间昨日，意甲官方,在意大利当地时间昨日，意甲官方成立赛事委员会,,
8049,控制,”“这周西班牙,”“这周西班牙,,
8050,延后,2020年欧洲杯、美洲杯双双,,2020年,
8053,成立,国际足联理事会特别工作组,国际足联理事会特别工作组,,
8055,支持,西班牙人俱乐部,今年2月份，西班牙人俱乐部,,
8055,捐赠,西班牙人俱乐部,今年2月份，西班牙人俱乐部,今年2月份,
8056,支持,我们,我们支持欧足联将欧洲杯推迟举办的决议,,
8059,接受,星岛环球网消息：据天空体育报道，国米球星卢卡库,星岛环球网消息：据,,
8059,离开,星岛环球网消息：据天空体育报道，国米球星卢卡库,星岛环球网消息,,
8061,公布,英冠卡迪夫城俱乐部,图片来源：卡迪夫城官方微博据英媒报道，北京时间3月19日晚，英冠卡迪夫城俱乐部,3月19日晚,
8065,暂停,在此之前，欧洲足球五大联赛,在此之前，欧洲足球五大联赛英超、西甲、意甲、德甲和法甲已全部暂停比赛,,
8066,宣布,西班牙卫生部长萨尔瓦多·伊拉,鉴于新冠疫情,,
8066,导致,鉴于新冠疫情的大流行,鉴于新冠疫情的大流行,,
8067,宣布,本月18日，外交部发言人耿爽表示，中国政府,本,,
8067,支持,本月18日，外交部发言人耿爽表示，中国,本,,
8068,接受,武磊,武磊,,
8069,接受,所有球员,所有球员和一线队工作人员,,
8070,接受,当地时间20日，马尔蒂尼,当地时间20日，马尔蒂尼,当地时间20日,
8071,通报,迪巴拉,迪巴拉,,
