id,trigger,object,subject,time,location
7953,恢复,此外，深航,此外，深航积极恢复,,此外，深航积极恢复
7955,作出,同时，因其,同时，因其违反中国法律、法规规定,同时，因其违反中国法律、法规规定,同时，因其违反中国法律、法规规定
7956,查封,2008年间，佛山市南海区某五金机械厂等8名合法债权人,2008年间，佛山市南海区某五金机械厂等8名合法债权人,2008年,2008年间，佛山市南海区某五金机械厂
7956,申请,2008年间，佛山市南海区某五金机械厂等8名合法债权人,2008年间，佛山市南海区某五金机械厂等8名合法债权人,2008年,2008年间，佛山市南海区
7959,抓获,广州男子,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息
7959,发布,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息
7959,发布,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息,广州男子涉嫌偷拍女同学发布淫秽信息
7959,发声,广州男子涉嫌偷拍女同学发布淫秽信息，学校,,广州男子涉嫌偷拍女同学发布淫秽信息，学校,广州男子涉嫌偷拍女同学发布淫秽信息，学校
7960,参与,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,1月29日,李海建
7960,来到,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,作为广东深圳一家节能企业的董事长，从1月29日开始，李海建,1月29日,李海建
7962,关注,3月23日，李海建,3月23日,3月23日,3月23日，李海建
7964,减少,据央视消息，随着患者的陆续减少，雷神山医院,据央视消息，随着患者的陆续减少，雷神山医院,,
7965,加入,1月底来雷神山建设医疗废弃物焚烧车间后，李海建,1月底来雷神山建设医疗废弃物焚烧车间后，李海建,1月底,1月底来雷神山建设医疗废弃物焚烧车间后，李海建
7966,结束,4月7日，李海建,4月7日,4月7日,4月7日，李海建
7970,参与,”此外，3月31日至4月3日期间，受武汉市疾病预防控制中心邀请，李海建,”此外，3月31日至4月3日期间，受武汉市疾病预防控制中心邀请，李海建,”此外，3月31日,”此外，3月31日
7974,申报,4月8日下午,4月8日,4月8日,4月8日
7978,组织,省自然资源厅,省自然资源厅,,省自然资源厅
7978,出动,省自然资源厅,省自然资源厅,,
