id,news,trigger,object,subject,time,location
1,新华社北京4月7日电（记者王优玲）人力资源社会保障部7日启动第七届大中城市联合招聘高校毕业生春季专场活动,启动,人力资源社会保障部,第七届大中城市联合招聘高校毕业生春季专场活动,7日,
2,活动针对高校毕业生特点和需求，集中归集发布一批适合高校毕业生的就业岗位，并鼓励引导供需双方应用高校毕业生精准招聘平台精准匹配对接,发布,活动,一批适合高校毕业生的就业岗位,,
2,活动针对高校毕业生特点和需求，集中归集发布一批适合高校毕业生的就业岗位，并鼓励引导供需双方应用高校毕业生精准招聘平台精准匹配对接,鼓励,活动,供需双方,,
4,图集4月8日，三大运营商中国移动、中国电信和中国联通将联合举行线上发布会，发布5G消息白皮书，携手生态合作伙伴，一起开启5G消息业务全新篇章,举行,三大运营商中国移动、中国电信和中国联通,线上发布会,4月8日,
4,图集4月8日，三大运营商中国移动、中国电信和中国联通将联合举行线上发布会，发布5G消息白皮书，携手生态合作伙伴，一起开启5G消息业务全新篇章,发布,三大运营商中国移动、中国电信和中国联通,5G消息白皮书,4月8日,
6,蓝山科技在年报中称，公司正在开发的5G通信边缘云计算技术、IDC密集网络大数据处理技术和同时同频全双工技术，通过在用户的网络边缘部署云数据中心，搭建5G固移融合平台和网络云化框架体系，突破传统5G通信宏基站部署应用难题，同时提供LTE、无线WiFi、有线、ZigBee、LoRa、NB-IoT等多种网络接入模式，具备大带宽、低时延、海量连接等优势，构建边缘计算新生态，筑建未来5G演进路标,开发,蓝山科技,同时同频全双工技术,,
7,3月2日，湖北省中西医结合医院呼吸与重症医学科主任张继先接受采访,接受,湖北省中西医结合医院呼吸与重症医学科主任张继先,采访,3月2日,
8,12月30日，武汉市卫生健康委向辖区医疗机构发布《关于做好不明原因肺炎救治工作的紧急通知》,发布,武汉市卫生健康委,关于做好不明原因肺炎救治工作的紧急通知,12月30日,
9,1月8日，国家卫健委专家评估组初步确认新冠病毒为疫情病原；1月20日，国家卫健委发布公告，将新冠肺炎纳入传染病防治法规定的乙类传染病并采取甲类传染病的防控措施,确认,国家卫健委专家评估组,新冠病毒为疫情病原,1月8日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,分析,73岁的李兰娟院士,患者的病情,2月11日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,穿上,73岁的李兰娟院士,写着“武汉加油”四个大字的防护服,2月11日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,进入,73岁的李兰娟院士,收治重症病人的ICU,2月11日,
12,4.45万名党员干部职工，下沉到13800多个网格参与排查工作；1.9万名民警加强值守，成为防控前沿的尖兵,参与,4.45万名党员干部职工,排查工作,,
12,4.45万名党员干部职工，下沉到13800多个网格参与排查工作；1.9万名民警加强值守，成为防控前沿的尖兵,加强,1.9万名民警,值守,,
13,新华社发2月16日，武汉再次部署开展为期3天的集中拉网式大排查，摸清底数，推动落实“确诊患者百分之百应收尽收、疑似患者百分之百核酸检测、发热病人百分之百进行检测、密切接触者百分之百隔离、小区村庄百分之百实行24小时封闭管理”等“五个百分之百”，坚决遏制疫情扩散蔓延,开展,武汉,为期3天的集中拉网式大排查,2月16日,
14,4月6日，得知援鄂医疗队员要离开湖北，王欣站在夕阳下，用小提琴拉起了一曲《送别》,离开,援鄂医疗队员,湖北,,
15,应对床位不足，“封城”第二天，火神山、雷神山医院1月24日相继开始建设，十多天建成，创造世界瞩目的“中国速度”,开始,火神山、雷神山医院,建设,1月24日,
16,当日，武汉市举行哀悼活动，表达对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切哀悼,举行,武汉市,哀悼活动,,
17,“湖北人民、武汉人民作出了巨大的牺牲和奉献，逝去的每一位同胞，都值得我们永远铭记,作出,湖北人民、武汉人民,巨大的牺牲和奉献,,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,恢复,武汉市,铁路客站到达业务,3月28日,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,撤除,武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点,,3月22日,
